;file;normalized_mean;normalized_conf_1_low;normalized_conf_1_high;normalized_conf_2_low;normalized_conf_2_high
0;results/geodist/counter-weak/;0.017638555434612346;0.014398645042133498;0.0208784658270912;0.011157797663991612;0.024119313205233077
0;results/geodist/concertTickets-weak/;0.02303975882561692;0.018784832579326602;0.027294685071907236;0.014528675803667542;0.03155084184756629
0;results/geodist/messageGroups-weak/;0.04167390378486511;0.0351302388287898;0.04821756874094041;0.028586117290714644;0.05476169027901557
0;results/geodist/eshop-weak/;0.07092766662802125;0.04183973266906951;0.100015600586973;0.01230224693462956;0.1295530863214129
0;results/geodist/twitterClone-weak/;0.06332695090839484;0.04750456206942142;0.07914933974736826;0.03166975142445021;0.09498415039233946
0;results/local/counter-weak/;0.05929949904874124;0.049876519790374406;0.06872247830710806;0.0404528830468302;0.07814611505065226
0;results/local/concert-weak/;0.1295696594477118;0.10889242818007552;0.15024689071534805;0.08820921703432474;0.17093010186109883
0;results/local/eshop-weak/;0.15514174913628095;0.13004597776843616;0.18023752050412575;0.10487484886542504;0.20540864940713682
0;results/local/messageGroups-weak/;0.07445935096459583;0.06313093122498023;0.08578777070421144;0.051799235293867;0.09711946663532464
0;results/local/twitterClone-weak/;0.08102332366310935;0.0687658205814172;0.09328082674480152;0.056504772616298986;0.1055418747099197
